Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,return,log return
12-Aug-11,51,52.5,49.5,49.95,50.90110145,44347679,139791,2257345708,11078125,24.98,3,-1.05,,
16-Aug-11,50.4,51.3,49,49.45,50.10278285,6563235,22943,328836338,1186883,18.08,2.3,-0.95,-0.01001001,-0.004369197
17-Aug-11,49.65,49.8,48.05,48.2,48.71990592,2242243,10034,109241868,792904,35.36,1.75,-1.45,-0.025278059,-0.011119258
18-Aug-11,48.5,48.5,46.1,46.25,46.95842527,2248722,10958,105596444,984266,43.77,2.4,-2.25,-0.040456432,-0.017935301
19-Aug-11,46.25,46.25,44.6,44.85,45.03115936,2358938,10246,106225713,851786,36.11,1.65,-1.4,-0.03027027,-0.01334929
22-Aug-11,44.9,45.4,44.4,44.7,44.7596661,1837556,5669,82248393,797626,43.41,1,-0.2,-0.003344482,-0.001454924
23-Aug-11,44.9,46.95,44.65,46.5,46.31615816,2240967,9835,103792982,565046,25.21,2.3,1.6,0.040268456,0.01714543
24-Aug-11,46.65,48.2,46.2,47.25,47.52128291,1722180,8498,81840203,413994,24.04,2,0.6,0.016129032,0.00694886
25-Aug-11,47.45,48.2,47,47.3,47.61035261,871529,5026,41493803,233796,26.83,1.2,-0.15,0.001058201,0.000459328
26-Aug-11,47.3,47.9,45.9,46.15,46.76528129,902067,4505,42185417,346948,38.46,2,-1.15,-0.024312896,-0.010689435
29-Aug-11,46.5,52.9,46.5,50.9,50.02840946,3455715,12938,172883925,1098636,31.79,6.4,4.4,0.102925244,0.042546077
30-Aug-11,52.5,53,49.2,49.65,50.9510211,5643226,24149,287528127,1447084,25.64,3.8,-2.85,-0.024557957,-0.01079853
2-Sep-11,49.5,51.35,48.65,50.45,50.34454482,1981777,11091,99771661,507214,25.59,2.7,0.95,0.01611279,0.006941918
5-Sep-11,50,52,49.75,51.55,51.23981618,2971109,12912,152239079,796968,26.82,2.25,1.55,0.021803766,0.009367499
6-Sep-11,51.2,52.3,50.55,51.75,51.74915575,3253784,11491,168380575,686971,21.11,1.75,0.55,0.003879728,0.001681685
7-Sep-11,51.8,52.65,51.35,51.9,52.10109487,3358400,10967,174976317,780166,23.23,1.3,0.1,0.002898551,0.001257004
8-Sep-11,52.25,52.3,51.55,51.7,51.86464467,946095,4371,49068881,322641,34.1,0.75,-0.55,-0.003853565,-0.001676815
9-Sep-11,51.95,52,50.6,50.8,51.37929415,883789,4672,45408455,352617,39.9,1.4,-1.15,-0.017408124,-0.007626831
12-Sep-11,50.15,51.6,49.7,50.9,50.61940794,1888949,8816,95617480,363780,19.26,1.9,0.75,0.001968504,0.00085407
13-Sep-11,51.25,51.55,50,50.15,50.79833034,701578,4072,35638991,218317,31.12,1.55,-1.1,-0.014734774,-0.006446845
14-Sep-11,50.4,50.65,50.05,50.15,50.27762239,501984,2852,25238562,184823,36.82,0.6,-0.25,0,0
15-Sep-11,50.5,51.05,50.1,50.3,50.41478463,522881,2643,26360933,174599,33.39,0.95,-0.2,0.002991027,0.001297048
16-Sep-11,50.5,50.7,49.85,50.05,50.21939042,470490,2740,23627721,193200,41.06,0.85,-0.45,-0.004970179,-0.002163903
19-Sep-11,50.05,50.15,49.7,49.9,49.94298987,329994,1842,16480887,140194,42.48,0.45,-0.15,-0.002997003,-0.001303536
20-Sep-11,49.8,50.35,49.8,50,50.0751793,442981,2194,22182353,142269,32.12,0.55,0.2,0.002004008,0.000869459
21-Sep-11,50.1,51,50,50.4,50.55607369,685794,3402,34671052,203266,29.64,1,0.3,0.008,0.003460532
22-Sep-11,50,50.25,48.95,49.05,49.60558999,577389,4060,28641722,301408,52.2,1.3,-0.95,-0.026785714,-0.011791525
23-Sep-11,48.8,49.15,47.8,48.65,48.52729873,709685,4605,34439096,233517,32.9,1.35,-0.15,-0.008154944,-0.003556167
26-Sep-11,49.1,49.1,47.15,47.65,47.85297784,652167,3566,31208133,219719,33.69,1.95,-1.45,-0.020554985,-0.00901994
27-Sep-11,48.4,49.2,48.1,49,48.84721746,411081,2552,20080163,168549,41,1.1,0.6,0.028331584,0.012133175
28-Sep-11,49.35,49.4,48.75,49,49.11631095,480677,2397,23609081,195530,40.68,0.65,-0.35,0,0
29-Sep-11,49,49.1,48.15,48.25,48.57157686,339097,1864,16470476,139515,41.14,0.95,-0.75,-0.015306122,-0.006698762
30-Sep-11,48.4,48.8,48,48.05,48.37384736,242920,1730,11750975,123771,50.95,0.8,-0.35,-0.004145078,-0.001803926
3-Oct-11,48,48,47.25,47.6,47.57705912,237759,2310,11311874,96136,40.43,0.75,-0.4,-0.009365245,-0.004086439
4-Oct-11,47.5,48,47,47.55,47.52779636,315347,1883,14987748,130352,41.34,1,0.05,-0.00105042,-0.000456431
5-Oct-11,47.6,47.8,47.05,47.15,47.44197451,169460,1201,8039517,73755,43.52,0.75,-0.45,-0.008412198,-0.003668824
7-Oct-11,47.95,49.8,47.7,48.65,48.72014573,672182,8940,32748805,195944,29.15,2.1,0.7,0.031813362,0.013601148
